etf_code,verified_full_name,provider_tracking_target,market,product_type,basis,comparable_price_context,return_5d_pct,return_20d_pct,return_60d_pct,gap_ma20_pct,disposition,disposition_reason,verified_linked_funds,linked_product_review
sh512390,平安MSCI中国A股低波动交易型开放式指数证券投资基金,MSCI中国A股低波指数,A股,ETF,qfqday,True,-0.5672609400324102,-0.8885298869143687,-1.7614091273018384,-0.5954550978247819,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh562010,华宝中证绿色能源交易型开放式指数证券投资基金,中证绿色能源指数,A股,ETF,day,True,-4.810996563573888,-7.357859531772581,-12.893081761006286,-5.552082741376374,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh510650,上证金融地产交易型开放式指数发起式证券投资基金,上证金融地产行业指数,A股,ETF,day,True,3.3973919011667686,5.349650349650359,8.303378864126532,3.8840139983105537,相对领先,5日和20日均上涨，价格在20日均线上方；不等于无条件买入,本轮未深核,仅完成场内方向比较
sh512010,易方达沪深300医药卫生交易型开放式指数证券投资基金,沪深300医药卫生指数,A股,ETF,qfqday,True,-0.7832898172323799,-4.040404040404044,16.92307692307693,-2.4765815475426667,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh512810,华宝中证军工交易型开放式指数证券投资基金,中证军工指数,A股,ETF,qfqday,True,2.2935779816513735,-0.14925373134327957,-5.641748942172065,1.5559772296015018,短期回暖,5日改善，但20日趋势尚未转正,本轮未深核,仅完成场内方向比较
sh515210,国泰中证钢铁交易型开放式指数证券投资基金,中证钢铁指数,A股,ETF,qfqday,True,-2.3391812865497075,0.2572898799313883,-4.415372035977105,-0.27724461505652664,回落观察,20日有涨幅，但最近5日未延续,本轮未深核,仅完成场内方向比较
sh563210,富国恒生A股专精特新企业交易型开放式指数证券投资基金,恒生A股专精特新企业指数,A股,ETF,day,True,-4.803921568627456,-6.138231029482844,-9.506057781919852,-5.420542541275008,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh515060,华夏中证全指房地产交易型开放式指数证券投资基金,中证全指房地产指数,A股,ETF,day,True,-0.6711409395973145,2.422145328719716,-2.148760330578514,0.5605571598437109,回落观察,20日有涨幅，但最近5日未延续,本轮未深核,仅完成场内方向比较
sh515030,华夏中证新能源汽车交易型开放式指数证券投资基金,中证新能源汽车指数,A股,ETF,day,True,-4.83772198407838,-6.441902468392535,-15.313351498637594,-4.863938290122127,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh512760,国泰CES半导体芯片行业交易型开放式指数证券投资基金,中华交易服务半导体芯片行业人民币指数,A股,ETF,qfqday,True,-5.9037238873751114,-10.766580534022395,-7.664884135472372,-7.00596921143577,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh515860,嘉实中证新兴科技100策略交易型开放式指数证券投资基金,中证新兴科技100策略指数,A股,ETF,day,True,-1.4231499051233554,-2.715355805243458,2.314130969965511,-1.672699742115591,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,007816,已核NAV/费用/身份
sh512930,平安中证人工智能主题交易型开放式指数证券投资基金,中证人工智能主题指数,A股,ETF,qfqday,True,-1.4634146341463428,-8.459214501510582,-8.18181818181819,-3.480130604443743,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh510330,华夏沪深300交易型开放式指数证券投资基金,沪深300指数,A股,ETF,qfqday,True,-1.3732322197171354,-2.8859737638748717,-2.7485852869846394,-1.5387133737109093,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh517400,国泰中证沪深港黄金产业股票交易型开放式指数证券投资基金,中证沪深港黄金产业股票指数,沪深港跨市场,ETF,day,True,-3.6031042128603086,4.885404101326918,29.77611940298508,1.9881531874963443,回落观察,20日有涨幅，但最近5日未延续,本轮未深核,仅完成场内方向比较
sh512600,嘉实中证主要消费交易型开放式指数证券投资基金,中证主要消费指数,A股,ETF,qfqday,True,1.906412478336228,1.730103806228378,5.755395683453224,1.8446349701221276,相对领先,5日和20日均上涨，价格在20日均线上方；不等于无条件买入,009180,已核NAV/费用/身份
sh512260,华安中证500行业中性低波动交易型开放式指数证券投资基金,中证500行业中性低波动指数,A股,ETF,day,True,-1.5503875968992276,-2.2073921971252575,0.263157894736854,-1.382202205311378,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh561260,工银瑞信中证国新央企现代能源交易型开放式指数证券投资基金,中证国新央企现代能源指数,A股,ETF,day,True,-0.3965107057890438,-0.31746031746031633,-2.1044427123928178,0.22742688425168023,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh512070,易方达沪深300非银行金融交易型开放式指数证券投资基金,沪深300非银行金融指数,A股,ETF,qfqday,True,1.9826517967781676,3.262233375156831,9.151193633952248,3.4179442070872312,相对领先,5日和20日均上涨，价格在20日均线上方；不等于无条件买入,本轮未深核,仅完成场内方向比较
sh512120,华安中证细分医药交易型开放式指数证券投资基金,细分医药,A股,ETF,qfqday,True,-1.498929336188437,-6.122448979591832,15.57788944723617,-3.836103271663005,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh512680,广发中证军工交易型开放式指数证券投资基金,中证军工指数,A股,ETF,day,True,2.6979982593559493,-0.08467400508045397,-5.372894947874918,1.6715491986903253,短期回暖,5日改善，但20日趋势尚未转正,本轮未深核,仅完成场内方向比较
sh516020,华宝中证细分化工产业主题交易型开放式指数证券投资基金,细分化工,A股,ETF,day,True,-3.803131991051456,-2.383654937570945,-1.1494252873563204,-0.8931143762604177,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sz159015,国联恒生港股通科技主题交易型开放式指数证券投资基金,恒生港股通科技主题指数,港股,ETF,day,True,-1.0067114093959773,-5.6503198294242996,-2.3178807947019875,-2.387911542491583,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sz159768,银华中证内地地产主题交易型开放式指数证券投资基金,中证内地地产主题指数,A股,ETF,day,True,0.0,0.917431192660545,2.564102564102577,0.1365498406918242,回落观察,20日有涨幅，但最近5日未延续,本轮未深核,仅完成场内方向比较
sh515790,华泰柏瑞中证光伏产业交易型开放式指数证券投资基金,中证光伏产业指数,A股,ETF,day,True,-4.8463356973995175,-7.043879907621243,-19.33867735470941,-5.132284485298422,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh516920,汇添富中证芯片产业交易型开放式指数证券投资基金,中证芯片产业指数,A股,ETF,day,True,-6.09929078014183,-10.600945307224851,-7.991660875608064,-7.051844571589028,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh515580,华泰柏瑞中证科技100交易型开放式指数证券投资基金,中证科技100指数,A股,ETF,qfqday,True,-2.883922134102379,-5.8041958041958,-1.3909224011713128,-3.658405750455962,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh515880,国泰中证全指通信设备交易型开放式指数证券投资基金,中证全指通信设备指数,A股,ETF,qfqday,True,-4.341317365269459,-3.1818181818181857,-20.324189526184544,-3.830235533147708,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,007818,已核NAV/费用/身份
sh510310,易方达沪深300交易型开放式指数发起式证券投资基金,沪深300指数,A股,ETF,qfqday,True,-1.2766894122826278,-2.7747669629308525,-2.4787997390737115,-1.4610567944633557,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh518800,国泰黄金交易型开放式证券投资基金,黄金9999,境内黄金现货,ETF,qfqday,True,-3.321924703040069,3.091455560326306,7.7164647824136345,-0.307257930576299,回落观察,20日有涨幅，但最近5日未延续,本轮未深核,仅完成场内方向比较
sh515650,富国中证消费50交易型开放式指数证券投资基金,中证消费50指数,A股,ETF,day,True,1.5755329008341201,2.9107981220657386,7.24070450097849,2.0721769499417952,相对领先,5日和20日均上涨，价格在20日均线上方；不等于无条件买入,008976,已核NAV/费用/身份
sh512890,华泰柏瑞中证红利低波动交易型开放式指数证券投资基金,中证红利低波动指数,A股,ETF,qfqday,True,1.942567567567588,4.231433506044913,3.872633390705693,2.3445118073515125,相对领先,5日和20日均上涨，价格在20日均线上方；不等于无条件买入,007467,已核NAV/费用/身份
sh561790,博时中证国新央企现代能源交易型开放式指数证券投资基金,中证国新央企现代能源指数,A股,ETF,day,True,-0.7075471698113289,-0.7075471698113289,-1.6355140186915973,-0.09492168960608671,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh512640,嘉实中证金融地产交易型开放式指数证券投资基金,中证金融地产指数,A股,ETF,day,True,2.716255745925622,4.418011894647411,8.712958867757624,3.201427521780209,相对领先,5日和20日均上涨，价格在20日均线上方；不等于无条件买入,005999,已核NAV/费用/身份
sh512290,国泰中证生物医药交易型开放式指数证券投资基金,中证生物医药指数,A股,ETF,day,True,-1.7142857142857126,-3.9106145251396662,20.70175438596491,-3.0803906836964656,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh512560,易方达中证军工交易型开放式指数证券投资基金,中证军工指数,A股,ETF,qfqday,True,2.4011299435028333,0.0,-4.730617608409993,1.5050752537626888,短期回暖,5日改善，但20日趋势尚未转正,本轮未深核,仅完成场内方向比较
sh516120,富国中证细分化工产业主题交易型开放式指数证券投资基金,细分化工,A股,ETF,day,True,-3.715846994535521,-2.6519337016574607,-0.6764374295377684,-0.9277481023334477,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sz159109,景顺长城恒生港股通50交易型开放式指数证券投资基金,恒生港股通50指数,港股,ETF,day,True,-0.24154589371980784,-0.8403361344537785,3.1210986267165897,-0.0121050720251481,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sz160218,国泰国证房地产行业指数证券投资基金(LOF),国证房地产行业指数,A股,LOF,day,True,-0.6825938566552892,2.464788732394374,1.5706806282722585,0.4227417824173907,回落观察,20日有涨幅，但最近5日未延续,本轮未深核,仅完成场内方向比较
sh516880,银华中证光伏产业交易型开放式指数证券投资基金,中证光伏产业指数,A股,ETF,day,True,-4.589707927677322,-6.666666666666654,-18.527315914489307,-5.091311566131718,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh516640,富国中证芯片产业交易型开放式指数证券投资基金,中证芯片产业指数,A股,ETF,day,True,-6.198347107438007,-10.80550098231826,-8.28282828282828,-7.230187651125563,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh515750,富国中证科技50策略交易型开放式指数证券投资基金,中证科技50策略指数,A股,ETF,day,True,-1.7612524461839585,-4.19847328244275,6.187202538339509,-2.635343176473437,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,008750,已核NAV/费用/身份
sh515050,华夏中证5G通信主题交易型开放式指数证券投资基金,中证5G通信主题指数,A股,ETF,qfqday,True,-4.729729729729737,-5.369127516778516,-16.91919191919191,-4.586978587655288,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh510680,万家上证50交易型开放式指数证券投资基金,上证50指数,A股,ETF,day,True,0.28160200250313405,-0.8660686668728768,3.4872457216661212,0.35539273245346337,短期回暖,5日改善，但20日趋势尚未转正,本轮未深核,仅完成场内方向比较
sh518880,华安易富黄金交易型开放式证券投资基金,黄金9999,境内黄金现货,ETF,qfqday,True,-3.2823218997361514,3.058929374718855,7.735715965201018,-0.2861712892941126,回落观察,20日有涨幅，但最近5日未延续,本轮未深核,仅完成场内方向比较
sh515920,博时中证智能消费主题交易型开放式指数证券投资基金,中证智能消费主题指数,A股,ETF,day,True,-2.7340513670256916,-5.627009646302261,-7.413249211356476,-3.24707433657494,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh515300,嘉实沪深300红利低波动交易型开放式指数证券投资基金,沪深300红利低波动指数,A股,ETF,qfqday,True,1.8404907975460238,3.4267912772585785,3.507404520654722,1.9421202118676595,相对领先,5日和20日均上涨，价格在20日均线上方；不等于无条件买入,007606,已核NAV/费用/身份
sh562850,嘉实中证国新央企现代能源交易型开放式指数证券投资基金,中证国新央企现代能源指数,A股,ETF,day,True,-0.7047768206734473,-0.6269592476489061,-1.7815646785437567,-0.059113300492597,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh512880,国泰中证全指证券公司交易型开放式指数证券投资基金,中证全指证券公司指数,A股,ETF,day,True,0.09057971014492239,0.8211678832116709,9.623015873015861,1.4412925732121273,相对领先,5日和20日均上涨，价格在20日均线上方；不等于无条件买入,本轮未深核,仅完成场内方向比较
sh512170,华宝中证医疗交易型开放式指数证券投资基金,中证医疗指数,A股,ETF,qfqday,True,-0.8771929824561431,-2.023121387283222,15.699658703071684,-2.2068368671570693,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh512710,富国中证军工龙头交易型开放式指数证券投资基金,中证军工龙头指数,A股,ETF,qfqday,True,2.893890675241151,2.400000000000002,-1.9908116385911168,2.8360247449184417,相对领先,5日和20日均上涨，价格在20日均线上方；不等于无条件买入,本轮未深核,仅完成场内方向比较
sh516220,国泰中证细分化工产业主题交易型开放式指数证券投资基金,细分化工,A股,ETF,day,True,-3.854389721627416,-2.6030368763557465,-0.8830022075055233,-1.1285439031103905,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sz159202,万家恒生互联网科技业交易型开放式指数证券投资基金(QDII),恒生互联网科技业指数,港股,QDII ETF,day,True,-0.8739076154806513,-8.630609896432674,-2.933985330073341,-2.546793494937072,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh516160,南方中证新能源交易型开放式指数证券投资基金,中证新能源指数,A股,ETF,qfqday,True,-5.396697543294393,-8.242187499999998,-17.838405036726122,-6.1807289066400095,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh516350,易方达中证芯片产业交易型开放式指数证券投资基金,中证芯片产业指数,A股,ETF,day,True,-6.2043795620437825,-11.072664359861584,-8.214285714285708,-7.164358819987959,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh516050,工银瑞信中证科技龙头交易型开放式指数证券投资基金,中证科技龙头指数,A股,ETF,day,True,-5.346820809248543,-8.263305322128843,-9.153952843273228,-5.537929045284096,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
